S/N,Route,Distance (km),Price (USD),Price (UGX)
1,"Abayita Ababiri",15,15,50000
2,"Ajumani",551,350,1200000
3,"Arua",563,170,1500000
4,"Back Parkers (Lungujja)",44,40,140000
5,"Bahai Temple",10,30,100000
6,"Bombo",36,70,160000
7,"Buddo / Naggalabi",83,45,260000
8,"Bugema",41,45,110000
9,"Bugiri",209,150,550000
10,"Bugolobi",15,40,100000
11,"Bukomero",76,65,220000
12,"Bukoto",10,40,150000
13,"Bulenga",18,40,150000
14,"Bulindo",35,45,160000
15,"Bulisa",295,240,750000
16,"Buloba",20,45,150000
17,"Bunagana - D.R.C Border",506,150,1500000
18,"Bunamwaya",15,40,120000
19,"Bunamwaya",34,30,120000
20,"Bunga",14,35,110000
21,"Bunjo",36,45,130000
22,"Busabala",47,40,130000
23,"Busega",40,40,120000
24,"Busembatya",189,175,550000
25,"Bushenyi",434,280,800000
26,"Busia",294,255,800000
27,"Busika",70,50,140000
28,"Busunju",94,50,150000
29,"Butabika",18,80,285000
30,"Butaleja",291,280,1000000
31,"Butambala",75,80,285000
32,"Buvi (Buw Aya)",12,40,100000
33,"Buwama",120,90,300000
34,"Buwate",57,50,100000
35,"Bwaise",30,40,130000
36,"Bwebajja Akright Estate",20,45,130000
37,"Bwera Border",506,210,1100000
38,"Bweyale",263,150,700000
39,"Bweyale",263,230,800000
40,"Bweyale",269,210,720000
41,"Bweyogerere",50,80,220000
42,"Bwindi National Park",516,210,1100000
43,"Chobe",316,150,700000
44,"Entebbe Town",3,25,100000
45,"Fort Portal",356,130,700000
46,"Gaba",16,40,100000
47,"Garuga / Katomi",14,35,110000
48,"Gayaza",57,50,160000
49,"Ggaba",50,50,150000
50,"Goli Coustom",428,300,1000000
51,"Gulu",380,320,1000000
52,"Hoima",237,200,700000
53,"Iganga",169,150,500000
54,"Isingiro",340,250,800000
55,"Jinja",140,125,370000
56,"Kabalagala",44,45,140000
57,"Kabale",464,300,1300000
58,"Kabojja",47,45,140000
59,"Kagoma",54,50,150000
60,"Kajansi",26,30,100000
61,"Kakira",130,110,450000
62,"Kalagi",88,75,200000
63,"Kaleerwe",45,42,140000
64,"Kaliro",199,150,500000
65,"Kampala (City Center)",40,35,140000
66,"Kamuli",164,140,500000
67,"Kansanga",15,40,120000
68,"Kanyanya",48,50,140000
69,"Karuma Falls",263,250,800000
70,"Kasangati",45,45,160000
71,"Kasenge",33,30,120000
72,"Kasese",347,250,1250000
73,"Kasubi",45,42,140000
74,"Katalemwa",46,42,140000
75,"Katosi",98,100,350000
76,"Katuna Border",495,330,1600000
77,"Kawempe",48,45,150000
78,"Kayunga",116,90,300000
79,"Kiboga",154,130,450000
80,"Kidepo",589,500,1800000
81,"Kigali - Rwanda",589,500,1800000
82,"Kigungu",12,40,110000
83,"Kinawa",50,45,140000
84,"Kinya Bweyogerere",52,45,150000
85,"Kinyala",126,60,200000
86,"Kira",45,45,150000
87,"Kireka",50,50,150000
88,"Kirinya Bukasa",55,45,150000
89,"Kisasi",40,45,150000
90,"Kisoro",481,250,1100000
91,"Kisubi",18,30,65000
92,"Kitebi",18,40,120000
93,"Kitende",18,40,90000
94,"Kitezi",48,45,140000
95,"Kitgum",458,330,1300000
96,"Kitintale",15,35,100000
97,"Kitooro",4,25,100000
98,"Kiwatule",49,50,150000
99,"Koboko",599,450,1500000
100,"Kololo",43,45,140000
101,"Kulambilo",52,45,170000
102,"Kyaluwajala",56,50,160000
103,"Kyambogo",40,45,140000
104,"Kyangwali (Refugee Camp)",429,300,1200000
105,"Kyanja",50,50,150000
106,"Kyebando",47,45,140000
107,"Kyengera",40,45,140000
108,"Kyotera",227,125,600000
109,"Lake Bunyonyi National Park",470,330,1000000
110,"Lake Mburo National Park",266,170,600000
111,"Lake Victoria Serena Hotel Kigo",18,80,250000
112,"Lira",387,300,1000000
113,"Lubowa",12,40,120000
114,"Lugazi",42,45,140000
115,"Lugoba",48,45,140000
116,"Lugonjo",8,30,100000
117,"Luwafu (Makindye)",45,45,150000
118,"Luwero",80,80,260000
119,"Luzira",48,50,160000
120,"Lweza",28,30,100000
121,"M (Unknown)",16,30,100000
122,"M (Unknown)",109,100,300000
123,"M (Unknown)",508,500,1750000
124,"Mabamba Lodge",64,70,170000
125,"Makerere",42,40,130000
126,"Makindye",40,45,140000
127,"Malaba",257,210,700000
128,"Masaka",177,150,500000
129,"Masanafu",40,45,140000
130,"Masindi",251,220,700000
131,"Mayuge",184,75,260000
132,"Mbale",284,220,700000
133,"Mbarara",332,250,900000
134,"Mbuya",45,45,160000
135,"Moyo",528,500,1500000
136,"Mpererwe",48,45,140000
137,"Mpigi",75,80,280000
138,"Mubende",119,175,550000
139,"Mukono",62,70,190000
140,"Mulago",40,45,140000
141,"Munnyonyo",18,45,140000
142,"Murchison Falls National Park",325,240,700000
143,"Mutukula Border",265,180,700000
144,"Mutundwe",40,45,160000
145,"Mutungo Bina",45,45,160000
146,"Muyenga",34,45,140000
147,"Naalya Estates",45,45,150000
148,"Nabinyonya",82,60,200000
149,"Nagalama",79,75,250000
150,"Nagulu",37,45,120000
151,"Najjanankumbi",20,40,120000
152,"Najjera 1",50,50,150000
153,"Najjera 2",50,50,150000
154,"Nakapripriet",379,300,1300000
155,"Nakaseero",45,48,160000
156,"Nakawa",45,48,160000
157,"Nakawogo Virus",37,45,140000
158,"Nakiluma",53,40,130000
159,"Nakweru Center",61,40,130000
160,"Nalukolongo",50,45,120000
161,"Nalumunye",35,35,120000
162,"Namasuba",35,35,120000
163,"Namboole",50,50,150000
164,"Namugongo",45,45,140000
165,"Namugongo",45,45,140000
166,"Namugongo Sonde",58,50,160000
167,"Namulanda",18,45,130000
168,"Namulonge",62,80,130000
169,"Namulonge",68,60,160000
170,"Namungona",45,45,140000
171,"Nankulabye",43,45,130000
172,"Nansana",43,45,130000
173,"Nateete",32,40,130000
174,"Ndejje",42,40,130000
175,"Nebbi",405,300,1000000
176,"Nile Resort / Jinja",123,100,370000
177,"Nimule Sudan Border",480,450,1140000
178,"Nkozi",80,40,130000
179,"Nsambya",12,40,130000
180,"Ntinda",40,45,150000
181,"Ntoroko",397,210,700000
182,"Paidha Town",509,350,1200000
183,"Pakwach",381,450,1500000
184,"Para",343,275,850000
185,"Parombo",450,320,1000000
186,"Queen Elizabeth National Park",395,350,1300000
187,"Rakai",185,130,500000
188,"Red Chili",5,50,160000
189,"Rubaga",35,45,160000
190,"Rukungiri",420,280,1200000
191,"Salama",40,40,120000
192,"Seeta Bajjo",35,40,130000
193,"Serena Resort Victoria",18,80,250000
194,"Soroti",300,200,1000000
195,"Sseeta",45,45,160000
196,"Tororo",209,150,600000
197,"Wakiso",44,45,140000
198,"Wandegeya",45,45,140000
199,"Yumbe",549,350,1200000